P:\DataSelfDrivingCar\sharp_turns\IMG\center_2019_08_07_16_27_58_550.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\left_2019_08_07_16_27_58_550.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\right_2019_08_07_16_27_58_550.jpg,-1,0,0,0.000187922
P:\DataSelfDrivingCar\sharp_turns\IMG\center_2019_08_07_16_27_58_624.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\left_2019_08_07_16_27_58_624.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\right_2019_08_07_16_27_58_624.jpg,-1,0,0,0.000100062
P:\DataSelfDrivingCar\sharp_turns\IMG\center_2019_08_07_16_27_58_692.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\left_2019_08_07_16_27_58_692.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\right_2019_08_07_16_27_58_692.jpg,-1,0,0,0.000164469
P:\DataSelfDrivingCar\sharp_turns\IMG\center_2019_08_07_16_27_58_760.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\left_2019_08_07_16_27_58_760.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\right_2019_08_07_16_27_58_760.jpg,-1,0,0,0.00016264
P:\DataSelfDrivingCar\sharp_turns\IMG\center_2019_08_07_16_27_58_826.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\left_2019_08_07_16_27_58_826.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\right_2019_08_07_16_27_58_826.jpg,-1,0,0,0.000153092
P:\DataSelfDrivingCar\sharp_turns\IMG\center_2019_08_07_16_27_58_892.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\left_2019_08_07_16_27_58_892.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\right_2019_08_07_16_27_58_892.jpg,-1,0,0,6.84E-05
P:\DataSelfDrivingCar\sharp_turns\IMG\center_2019_08_07_16_27_58_960.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\left_2019_08_07_16_27_58_960.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\right_2019_08_07_16_27_58_960.jpg,-1,0,0,0.000142514
P:\DataSelfDrivingCar\sharp_turns\IMG\center_2019_08_07_16_27_59_030.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\left_2019_08_07_16_27_59_030.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\right_2019_08_07_16_27_59_030.jpg,-1,0,0,0.000133798
P:\DataSelfDrivingCar\sharp_turns\IMG\center_2019_08_07_16_27_59_106.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\left_2019_08_07_16_27_59_106.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\right_2019_08_07_16_27_59_106.jpg,-1,0,0,0.000124284
P:\DataSelfDrivingCar\sharp_turns\IMG\center_2019_08_07_16_27_59_173.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\left_2019_08_07_16_27_59_173.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\right_2019_08_07_16_27_59_173.jpg,-1,0,0,0.000111943
P:\DataSelfDrivingCar\sharp_turns\IMG\center_2019_08_07_16_27_59_241.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\left_2019_08_07_16_27_59_241.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\right_2019_08_07_16_27_59_241.jpg,-1,0,0,0.00010173
P:\DataSelfDrivingCar\sharp_turns\IMG\center_2019_08_07_16_27_59_309.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\left_2019_08_07_16_27_59_309.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\right_2019_08_07_16_27_59_309.jpg,-1,0,0,2.28E-05
P:\DataSelfDrivingCar\sharp_turns\IMG\center_2019_08_07_16_27_59_376.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\left_2019_08_07_16_27_59_376.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\right_2019_08_07_16_27_59_376.jpg,-1,0,0,9.39E-05
P:\DataSelfDrivingCar\sharp_turns\IMG\center_2019_08_07_16_27_59_451.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\left_2019_08_07_16_27_59_451.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\right_2019_08_07_16_27_59_451.jpg,-1,0,0,8.40E-05
P:\DataSelfDrivingCar\sharp_turns\IMG\center_2019_08_07_16_27_59_517.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\left_2019_08_07_16_27_59_517.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\right_2019_08_07_16_27_59_517.jpg,-1,0,0,2.43E-06
P:\DataSelfDrivingCar\sharp_turns\IMG\center_2019_08_07_16_27_59_585.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\left_2019_08_07_16_27_59_585.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\right_2019_08_07_16_27_59_585.jpg,-1,0,0,1.03E-05
P:\DataSelfDrivingCar\sharp_turns\IMG\center_2019_08_07_16_27_59_652.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\left_2019_08_07_16_27_59_652.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\right_2019_08_07_16_27_59_652.jpg,-1,0,0,1.90E-05
P:\DataSelfDrivingCar\sharp_turns\IMG\center_2019_08_07_16_27_59_719.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\left_2019_08_07_16_27_59_719.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\right_2019_08_07_16_27_59_719.jpg,-1,0,0,4.63E-05
P:\DataSelfDrivingCar\sharp_turns\IMG\center_2019_08_07_16_27_59_787.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\left_2019_08_07_16_27_59_787.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\right_2019_08_07_16_27_59_787.jpg,-1,0,0,3.72E-05
P:\DataSelfDrivingCar\sharp_turns\IMG\center_2019_08_07_16_27_59_853.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\left_2019_08_07_16_27_59_853.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\right_2019_08_07_16_27_59_853.jpg,-1,0,0,4.05E-05
P:\DataSelfDrivingCar\sharp_turns\IMG\center_2019_08_07_16_27_59_920.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\left_2019_08_07_16_27_59_920.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\right_2019_08_07_16_27_59_920.jpg,-1,0,0,5.09E-05
P:\DataSelfDrivingCar\sharp_turns\IMG\center_2019_08_07_16_27_59_989.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\left_2019_08_07_16_27_59_989.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\right_2019_08_07_16_27_59_989.jpg,-1,0,0,5.40E-05
P:\DataSelfDrivingCar\sharp_turns\IMG\center_2019_08_07_16_28_00_063.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\left_2019_08_07_16_28_00_063.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\right_2019_08_07_16_28_00_063.jpg,-1,0,0,6.21E-05
P:\DataSelfDrivingCar\sharp_turns\IMG\center_2019_08_07_16_28_00_130.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\left_2019_08_07_16_28_00_130.jpg,P:\DataSelfDrivingCar\sharp_turns\IMG\right_2019_08_07_16_28_00_130.jpg,-1,0,0,6.76E-05
